Task_Record_ID,Task_Length_MI,Task_Priority,Task_Dependency_Level,Task_Arrival_Time,CPU_Utilization,Memory_Usage,Queue_Length,Node_Trust_Score,Node_Processing_Speed_MIPS,System_Load_Level,Execution_Environment,Assigned_Node
TASK_0301,6602,3,1,36.77,50.24,42.54,19,0.559,12526,High,Cloud,1
TASK_0302,1684,1,3,3458.6,62.12,16.42,10,0.827,11207,Medium,Cloud,5
TASK_0303,3827,2,1,3306.71,83.85,22.54,15,0.926,10231,High,Cloud,4
TASK_0304,3894,5,1,192.0,66.26,52.22,8,0.966,16063,High,Hybrid,2
TASK_0305,8819,1,2,1841.25,46.89,66.75,14,0.986,5723,Medium,Edge,1
TASK_0306,2316,4,3,4895.16,79.65,40.11,13,0.891,5213,Medium,Edge,2
TASK_0307,6354,5,4,2103.68,86.97,67.16,18,0.57,4466,High,Edge,4
TASK_0308,7209,2,1,2509.73,20.18,67.4,8,0.927,13449,Low,Edge,1
TASK_0309,1069,2,2,4549.65,55.21,67.8,3,0.7,3747,Medium,Cloud,3
TASK_0310,5942,3,3,3586.31,34.18,51.94,6,0.865,13454,Low,Cloud,3
TASK_0311,2395,5,3,2910.35,14.0,83.62,7,0.766,13587,High,Cloud,3
TASK_0312,3233,3,0,3989.02,66.83,51.69,7,0.914,17383,High,Edge,4
TASK_0313,4363,1,0,4321.83,83.34,48.77,18,0.713,3203,Low,Cloud,3
TASK_0314,7955,5,1,2284.44,23.85,29.95,14,0.531,14635,High,Edge,1
TASK_0315,4514,1,0,2375.54,79.06,38.07,15,0.778,2144,High,Edge,3
TASK_0316,2186,3,1,1930.25,82.54,18.18,8,0.586,13213,High,Edge,1
TASK_0317,3509,5,4,4833.53,87.72,62.52,11,0.983,17944,Low,Cloud,4
TASK_0318,8306,3,1,3485.83,32.55,33.64,15,0.763,2187,Medium,Cloud,2
TASK_0319,654,5,0,416.12,86.84,37.81,3,0.777,4133,Medium,Cloud,5
TASK_0320,1909,3,4,4314.8,37.26,72.81,4,0.954,4411,Medium,Edge,3
TASK_0321,1284,2,0,2402.8,56.95,39.54,7,0.812,2689,Medium,Cloud,5
TASK_0322,8596,3,1,343.77,14.29,33.16,0,0.651,5407,High,Hybrid,2
TASK_0323,8060,2,2,2748.59,13.73,27.68,5,0.648,3423,Medium,Edge,4
TASK_0324,7843,3,3,2085.82,71.23,73.11,14,0.751,18753,High,Cloud,4
TASK_0325,7706,5,0,4388.75,47.78,24.73,3,0.933,7728,Low,Edge,2
TASK_0326,6096,5,1,1019.97,31.78,49.03,10,0.897,1976,Low,Edge,5
TASK_0327,6301,5,4,4132.32,26.19,53.02,4,0.981,13801,Low,Edge,3
TASK_0328,3306,4,0,2788.44,66.95,66.55,17,0.536,11548,Medium,Cloud,1
TASK_0329,1037,1,0,273.05,10.03,62.5,14,0.634,1118,Medium,Cloud,4
TASK_0330,6486,5,3,4859.23,78.5,75.8,17,0.54,2542,High,Cloud,2
TASK_0331,2341,2,1,2563.08,16.74,18.36,19,0.876,1972,Medium,Cloud,5
TASK_0332,9216,5,2,1454.38,26.28,37.23,12,0.57,1915,Medium,Edge,3
TASK_0333,7471,4,4,2347.03,42.83,36.01,4,0.55,7621,Medium,Edge,5
TASK_0334,6125,2,1,4289.29,51.21,25.95,0,0.781,17970,Low,Hybrid,3
TASK_0335,3450,4,4,1524.52,40.17,36.69,17,0.706,15530,Low,Cloud,1
TASK_0336,8492,2,0,963.38,37.26,38.23,13,0.858,8354,Medium,Cloud,1
TASK_0337,5280,3,3,645.36,91.93,54.14,4,0.744,14761,Medium,Edge,2
TASK_0338,2868,1,3,1489.3,64.53,64.78,5,0.713,5591,High,Cloud,2
TASK_0339,7155,1,2,3900.24,11.99,43.58,15,0.713,19946,Medium,Cloud,3
TASK_0340,8673,4,3,2358.13,46.56,68.96,11,0.936,9464,High,Edge,3
TASK_0341,4995,1,0,1137.41,84.38,40.21,19,0.698,13550,Medium,Cloud,3
TASK_0342,9663,4,2,830.92,35.62,36.77,17,0.667,15351,High,Edge,3
TASK_0343,6502,4,1,1663.65,18.04,55.59,1,0.669,5290,Low,Cloud,1
TASK_0344,7114,4,3,4699.62,74.46,16.78,12,0.598,7446,Medium,Edge,2
TASK_0345,9858,1,2,1715.13,61.51,20.98,16,0.93,14432,Medium,Hybrid,2
TASK_0346,6419,4,0,4940.62,58.48,46.35,16,0.573,2522,High,Cloud,4
TASK_0347,1353,1,4,2426.15,14.55,85.72,15,0.954,1561,Low,Hybrid,2
TASK_0348,4646,4,4,895.82,21.94,69.11,17,0.642,4540,Medium,Edge,2
TASK_0349,4269,5,0,4455.7,62.92,21.61,7,0.95,13328,Medium,Hybrid,5
TASK_0350,1074,4,0,2301.78,27.67,78.47,2,0.895,2479,Medium,Cloud,5
TASK_0351,1648,2,4,3548.36,52.85,69.92,16,0.791,7677,Low,Edge,4
TASK_0352,6793,4,2,4918.56,56.31,60.82,17,0.835,18589,Low,Cloud,3
TASK_0353,6957,3,4,250.88,34.1,76.52,5,0.663,9848,Medium,Edge,4
TASK_0354,8009,4,0,483.47,90.62,45.31,7,0.787,17973,Medium,Edge,4
TASK_0355,5277,2,3,3602.28,81.61,31.61,12,0.646,13766,Low,Edge,1
TASK_0356,4354,2,1,1409.13,71.4,53.4,7,0.701,14520,Medium,Hybrid,2
TASK_0357,2991,1,3,921.51,16.63,56.16,18,0.882,12943,Low,Cloud,1
TASK_0358,3624,5,3,196.81,19.02,55.37,5,0.622,11292,High,Cloud,2
TASK_0359,6191,4,0,109.23,51.89,57.38,14,0.919,11076,Medium,Edge,4
TASK_0360,3551,1,4,3872.43,23.66,86.15,9,0.688,17017,High,Edge,2
TASK_0361,504,5,2,672.17,93.15,82.67,16,0.766,9655,Medium,Cloud,3
TASK_0362,5722,4,3,2338.6,23.47,80.68,0,0.971,9945,High,Edge,3
TASK_0363,5815,3,4,3029.48,51.43,75.11,6,0.841,9774,Medium,Hybrid,4
TASK_0364,5369,4,2,2141.76,40.95,85.76,12,0.823,3205,Medium,Edge,5
TASK_0365,1376,2,3,135.53,64.35,22.39,2,0.856,13342,Medium,Cloud,3
TASK_0366,9683,2,2,3917.51,20.97,34.88,18,0.959,5027,High,Cloud,4
TASK_0367,7527,3,4,52.57,46.58,52.13,14,0.624,17327,Medium,Hybrid,1
TASK_0368,4642,1,1,3809.45,33.35,78.49,4,0.807,8188,Low,Edge,5
TASK_0369,7466,5,4,4466.52,85.46,52.89,10,0.7,3808,Low,Hybrid,3
TASK_0370,7579,4,0,2164.2,13.45,71.1,17,0.506,14851,Medium,Cloud,4
TASK_0371,8487,2,2,2677.71,87.67,25.42,2,0.563,16354,Medium,Edge,4
TASK_0372,7299,1,1,2384.92,80.8,33.93,5,0.662,16058,Low,Edge,1
TASK_0373,4965,3,2,1946.04,35.29,69.88,2,0.782,15620,Medium,Cloud,1
TASK_0374,1135,2,2,4437.12,77.09,27.36,4,0.941,4913,Medium,Edge,5
TASK_0375,2193,3,3,4469.67,12.65,41.35,8,0.896,18803,High,Edge,3
TASK_0376,5252,4,0,1679.08,92.18,34.86,18,0.777,3167,Low,Edge,4
TASK_0377,8811,5,2,3075.35,54.76,41.24,12,0.537,3144,Medium,Hybrid,5
TASK_0378,1330,2,4,4634.54,35.78,68.12,5,0.643,3167,High,Hybrid,5
TASK_0379,5677,2,4,4810.29,40.82,42.59,10,0.683,10752,Medium,Hybrid,1
TASK_0380,9432,4,3,2544.8,15.64,56.64,13,0.811,10368,Low,Hybrid,4
TASK_0381,8808,1,0,2264.12,94.09,22.49,5,0.532,18550,High,Edge,2
TASK_0382,6449,5,0,1393.47,13.34,75.38,5,0.765,4575,Medium,Cloud,1
TASK_0383,3338,2,4,4794.36,65.67,42.74,16,0.951,19254,Medium,Hybrid,4
TASK_0384,1650,5,1,714.07,47.63,63.64,10,0.853,17543,High,Edge,5
TASK_0385,8060,2,3,2899.15,90.66,69.4,14,0.899,8243,High,Cloud,5
TASK_0386,2431,5,3,1412.75,30.91,30.72,8,0.841,13926,Medium,Edge,3
TASK_0387,9704,3,4,1395.04,55.23,81.35,16,0.603,2055,Low,Cloud,2
TASK_0388,2164,2,4,2024.84,51.0,61.22,6,0.555,17717,Medium,Edge,1
TASK_0389,1581,5,1,4993.96,69.74,47.15,6,0.915,10083,Low,Cloud,3
TASK_0390,1012,1,1,274.83,15.78,28.68,0,0.848,2362,Low,Cloud,3
TASK_0391,8305,3,0,2892.71,26.47,85.67,7,0.788,1925,Medium,Hybrid,2
TASK_0392,5737,3,3,412.86,28.24,71.63,4,0.595,19827,High,Edge,1
TASK_0393,1059,1,3,772.6,72.74,30.6,18,0.802,17321,High,Edge,1
TASK_0394,4172,5,4,2197.81,26.08,40.33,7,0.516,11769,Medium,Edge,5
TASK_0395,7904,4,0,2552.3,58.75,75.73,16,0.559,4980,Medium,Hybrid,1
TASK_0396,3843,1,3,1293.96,28.3,67.18,18,0.656,8260,Low,Edge,3
TASK_0397,4570,5,0,1582.29,83.24,72.43,11,0.722,17151,Low,Edge,5
TASK_0398,1080,1,0,434.84,90.09,48.09,14,0.56,11597,Low,Hybrid,1
TASK_0399,7504,1,4,1516.1,54.07,68.74,3,0.56,2419,High,Cloud,2
TASK_0400,8630,2,0,4832.79,39.95,43.99,11,0.863,12067,Low,Hybrid,3
TASK_0401,3647,5,1,4723.54,29.89,30.84,12,0.785,1059,High,Cloud,4
TASK_0402,4749,4,1,1674.39,14.23,62.45,13,0.767,3524,Medium,Edge,2
TASK_0403,2179,2,2,2854.27,32.82,88.2,4,0.726,2578,Low,Cloud,2
TASK_0404,4006,1,4,4547.98,65.61,38.3,15,0.988,13598,Low,Edge,1
TASK_0405,7753,1,2,30.92,55.36,49.57,6,0.525,15527,Medium,Edge,5
TASK_0406,3244,1,1,4053.42,90.24,65.55,14,0.59,17047,High,Hybrid,5
TASK_0407,9935,5,2,4741.85,43.68,55.61,12,0.824,1707,High,Hybrid,3
TASK_0408,5688,5,4,456.63,68.98,78.26,15,0.568,6277,Medium,Hybrid,1
TASK_0409,2641,2,4,807.24,51.59,72.13,11,0.795,2780,Medium,Cloud,5
TASK_0410,7117,4,0,4803.73,53.57,19.37,6,0.784,14811,Medium,Hybrid,4
TASK_0411,2979,2,3,2687.7,32.76,89.88,15,0.986,19797,High,Edge,1
TASK_0412,6984,3,0,70.98,48.67,71.43,12,0.942,14145,High,Hybrid,1
TASK_0413,7921,1,4,1288.16,50.02,79.79,2,0.973,15662,Medium,Cloud,5
TASK_0414,4952,1,1,2249.72,70.06,63.84,14,0.557,19545,Medium,Edge,2
TASK_0415,6381,1,1,3464.54,89.95,79.22,2,0.934,12731,Medium,Hybrid,1
TASK_0416,7165,2,0,3665.8,37.99,23.43,6,0.565,9800,Medium,Hybrid,2
TASK_0417,3349,2,4,4977.11,13.59,41.08,17,0.816,17692,Low,Edge,3
TASK_0418,7890,1,1,1437.56,52.19,80.73,13,0.86,6439,Medium,Edge,3
TASK_0419,7405,2,4,2691.1,56.28,30.12,17,0.58,5307,High,Cloud,5
TASK_0420,2989,5,1,2666.62,24.32,20.87,18,0.816,3364,Medium,Edge,3
TASK_0421,9707,5,4,2028.23,74.64,74.11,13,0.526,17568,Low,Edge,5
TASK_0422,5111,2,2,845.81,93.72,77.66,19,0.647,6324,High,Cloud,5
TASK_0423,3339,1,4,4887.28,90.39,27.2,5,0.961,6483,Low,Cloud,2
TASK_0424,9027,2,4,4266.59,26.75,79.08,7,0.586,1245,Low,Cloud,2
TASK_0425,6378,2,0,2491.67,84.41,66.51,6,0.533,9430,Low,Edge,3
TASK_0426,9587,2,2,3016.23,69.88,54.01,19,0.722,9183,Medium,Cloud,2
TASK_0427,6803,3,3,1136.31,48.58,77.27,17,0.925,6924,Medium,Edge,1
TASK_0428,1351,5,0,2718.94,55.95,46.44,17,0.538,17903,Medium,Cloud,4
TASK_0429,2187,4,3,3474.85,82.22,29.55,14,0.678,14901,High,Edge,1
TASK_0430,7333,4,1,2575.84,50.81,36.36,19,0.95,4907,Medium,Edge,1
TASK_0431,2927,3,3,4951.43,41.72,52.89,18,0.559,1276,High,Edge,5
TASK_0432,4500,2,4,3056.71,51.93,54.85,1,0.655,6101,Low,Edge,4
TASK_0433,5552,3,3,1854.87,59.23,75.42,7,0.889,15537,High,Edge,5
TASK_0434,3238,3,0,3860.76,26.07,74.35,10,0.772,13501,Medium,Cloud,2
TASK_0435,6232,1,0,852.31,86.58,58.6,17,0.916,5603,Medium,Hybrid,2
TASK_0436,5887,5,3,1922.58,67.31,73.56,12,0.556,17335,Medium,Cloud,4
TASK_0437,8502,4,0,1734.79,63.83,29.38,8,0.96,14386,Medium,Cloud,3
TASK_0438,6036,2,0,2159.04,18.46,18.75,8,0.967,5053,Low,Edge,2
TASK_0439,4413,4,3,3908.9,61.35,80.52,16,0.578,7073,High,Cloud,1
TASK_0440,1566,4,2,2420.87,20.28,20.67,6,0.517,17525,Low,Hybrid,4
TASK_0441,8223,5,2,3970.07,16.69,33.5,8,0.995,11561,Low,Cloud,4
TASK_0442,4880,4,1,2882.44,54.82,67.15,0,0.741,19101,Medium,Edge,2
TASK_0443,4607,4,0,1710.35,44.24,45.71,1,0.786,13748,High,Cloud,2
TASK_0444,6226,3,3,4049.89,60.05,80.72,3,0.808,8313,Low,Cloud,5
TASK_0445,3873,5,0,1191.45,17.58,37.35,13,0.895,6714,High,Cloud,5
TASK_0446,9445,1,4,1121.91,46.63,15.89,3,0.906,17783,High,Hybrid,1
TASK_0447,2582,2,0,2522.51,24.86,37.55,1,0.597,10526,Medium,Hybrid,4
TASK_0448,9467,4,0,1304.25,93.9,58.36,7,0.618,14582,Medium,Edge,3
TASK_0449,7248,2,2,45.44,57.7,43.2,17,0.938,11815,High,Hybrid,3
TASK_0450,917,1,3,3241.49,68.43,55.12,18,0.91,14760,Medium,Edge,4
TASK_0451,8806,2,0,2555.47,37.66,80.74,13,0.809,7255,Medium,Hybrid,1
TASK_0452,9308,1,2,2227.59,18.05,83.44,19,0.997,17622,High,Hybrid,5
TASK_0453,4474,3,1,4834.84,92.95,34.95,9,0.868,4215,High,Cloud,5
TASK_0454,3767,4,2,2856.0,34.33,49.66,16,0.608,8541,High,Edge,5
TASK_0455,1325,1,2,4317.16,46.02,56.19,7,0.923,4647,Low,Edge,3
TASK_0456,8168,2,2,697.25,65.24,86.18,13,0.707,10808,Low,Cloud,3
TASK_0457,6245,4,0,2846.03,12.1,89.9,7,0.518,19813,Low,Cloud,1
TASK_0458,912,3,0,4339.9,78.87,32.66,4,0.661,4652,Medium,Hybrid,3
TASK_0459,8043,4,1,2915.53,55.61,69.52,15,0.882,15028,Medium,Hybrid,2
TASK_0460,8087,1,4,3590.07,33.65,43.35,7,0.98,14803,Medium,Edge,3
TASK_0461,1228,3,4,1860.22,15.24,15.61,9,0.638,7307,Medium,Hybrid,5
TASK_0462,7664,2,4,462.25,23.81,15.69,7,0.623,2535,High,Hybrid,1
TASK_0463,9367,3,1,2289.5,86.08,49.54,8,0.782,15932,High,Cloud,4
TASK_0464,6488,3,4,1972.4,68.31,51.63,17,0.906,16749,High,Cloud,4
TASK_0465,3004,5,4,4335.3,31.24,16.69,2,0.873,9727,Low,Cloud,1
TASK_0466,3467,3,2,1219.98,15.58,66.52,16,0.78,18332,Low,Cloud,2
TASK_0467,3286,3,0,4833.67,68.7,37.05,19,0.816,11834,High,Cloud,4
TASK_0468,1622,4,0,4790.69,58.65,56.99,14,0.621,10213,Medium,Edge,5
TASK_0469,4579,2,2,1238.16,44.38,37.57,16,0.716,16437,Medium,Hybrid,4
TASK_0470,2071,4,2,1740.26,40.91,27.54,7,0.628,2403,Low,Hybrid,4
TASK_0471,5573,4,2,4477.78,28.43,45.54,1,0.942,8506,Low,Edge,5
TASK_0472,5604,1,0,4833.11,66.92,32.42,16,0.556,8591,Medium,Hybrid,3
TASK_0473,2643,4,4,2217.2,92.51,55.11,17,0.84,13996,High,Edge,2
TASK_0474,7306,5,2,1604.99,24.94,29.91,4,0.63,6060,High,Hybrid,5
TASK_0475,7857,5,1,2630.47,60.75,53.13,8,0.738,16062,Medium,Edge,5
TASK_0476,3940,1,2,3438.85,46.06,26.8,8,0.65,2602,Medium,Cloud,1
TASK_0477,4266,2,3,1367.37,47.97,65.32,1,0.662,14472,High,Hybrid,2
TASK_0478,6144,2,2,3682.37,31.6,71.55,1,0.63,3196,Medium,Cloud,3
TASK_0479,3414,4,0,258.29,80.14,23.28,18,0.876,12091,Medium,Edge,5
TASK_0480,5468,4,2,246.47,51.25,50.09,2,0.683,16040,High,Cloud,3
TASK_0481,6417,4,3,1931.44,56.19,20.32,16,0.863,17494,High,Edge,5
TASK_0482,9287,2,1,1767.37,35.9,59.86,13,0.728,17016,High,Hybrid,5
TASK_0483,1228,3,4,1578.17,25.45,34.83,13,0.774,7023,Low,Cloud,1
TASK_0484,1865,5,2,2455.1,17.3,54.57,13,0.772,4867,Medium,Hybrid,4
TASK_0485,4992,3,3,1603.67,70.7,53.81,5,0.988,10569,High,Cloud,2
TASK_0486,1198,3,3,961.29,26.68,84.33,2,0.684,8641,Low,Cloud,1
TASK_0487,7686,2,1,1547.35,68.66,56.18,0,0.604,6004,High,Cloud,3
TASK_0488,895,3,0,4874.52,43.18,58.72,15,0.956,10963,Low,Edge,5
TASK_0489,7900,1,2,2055.57,45.34,45.12,3,0.587,14796,High,Cloud,5
TASK_0490,8582,4,3,2223.56,49.88,86.18,0,0.917,9204,Medium,Edge,2
TASK_0491,4671,1,1,2882.72,41.26,73.29,16,0.575,8077,Low,Cloud,1
TASK_0492,4860,5,4,4916.7,18.55,36.41,17,0.829,13526,Medium,Cloud,1
TASK_0493,3002,4,3,1208.01,36.32,78.32,7,0.575,4261,Medium,Edge,3
TASK_0494,1217,3,1,3406.41,66.42,47.43,1,0.962,18046,Medium,Cloud,1
TASK_0495,3282,5,0,3579.92,66.59,77.15,17,0.783,14397,Medium,Cloud,1
TASK_0496,5446,4,0,3036.62,34.33,76.72,15,0.665,4390,High,Cloud,4
TASK_0497,5986,3,3,442.89,49.11,29.17,9,0.57,16299,Medium,Edge,2
TASK_0498,8835,1,3,3384.36,26.44,67.59,7,0.686,2902,Medium,Edge,1
TASK_0499,5480,4,2,320.47,27.88,36.8,11,0.853,17712,Low,Cloud,3
TASK_0500,7766,3,1,2980.71,11.96,37.31,15,0.692,10631,High,Cloud,5
TASK_0501,4991,1,3,3697.91,86.22,37.23,11,0.623,16562,Low,Cloud,1
TASK_0502,7692,5,2,1054.85,27.91,69.42,10,0.789,14540,Medium,Cloud,1
TASK_0503,6088,5,2,4208.11,29.34,32.24,19,0.709,4846,High,Hybrid,5
TASK_0504,8151,5,3,151.77,33.77,15.07,18,0.583,13359,Low,Edge,4
TASK_0505,4136,5,0,4219.06,20.83,68.64,0,0.577,17608,Medium,Edge,2
TASK_0506,1667,2,1,2301.65,64.34,27.84,2,0.854,3520,Low,Cloud,4
TASK_0507,1562,4,1,1087.94,16.39,22.84,11,0.987,9064,High,Edge,3
TASK_0508,2656,4,0,668.89,21.41,32.81,8,0.617,19791,Medium,Hybrid,1
TASK_0509,8360,2,3,4766.54,64.8,43.49,4,0.887,7683,High,Edge,4
TASK_0510,5661,3,1,363.33,38.87,50.69,0,0.544,18194,High,Edge,2
TASK_0511,5805,3,3,995.47,70.18,18.34,9,0.691,4117,Medium,Edge,3
TASK_0512,7041,5,3,1739.11,57.38,87.79,16,0.753,16604,High,Edge,4
TASK_0513,5229,1,2,3101.17,31.76,68.7,3,0.634,13578,Medium,Cloud,1
TASK_0514,9848,3,0,2724.01,65.32,39.24,14,0.765,3251,Medium,Edge,2
TASK_0515,7830,1,3,628.22,19.88,38.9,18,0.941,14513,Medium,Cloud,1
TASK_0516,5834,4,4,1448.64,55.59,48.64,7,0.972,5661,High,Edge,1
TASK_0517,9424,1,0,1193.76,47.16,61.97,14,0.55,15103,Medium,Hybrid,3
TASK_0518,4830,4,1,1067.71,32.77,25.98,6,0.636,7421,Medium,Hybrid,2
TASK_0519,8510,2,2,2055.72,61.34,29.17,14,0.99,5925,Medium,Edge,5
TASK_0520,7301,2,1,3520.16,84.06,79.46,7,0.635,13202,Medium,Cloud,1
TASK_0521,5346,5,1,1087.26,94.91,34.22,9,0.846,3646,Low,Cloud,2
TASK_0522,7231,3,0,1833.39,61.66,43.51,17,0.627,19130,Medium,Edge,1
TASK_0523,7741,5,1,1954.59,44.4,80.35,3,0.678,5309,Medium,Hybrid,4
TASK_0524,1453,4,3,4882.28,29.14,64.74,14,0.596,17832,Medium,Edge,4
TASK_0525,3039,5,1,4773.33,31.85,40.63,10,0.928,18952,Medium,Cloud,2
TASK_0526,7556,1,2,4000.69,50.75,66.28,2,0.941,13667,Medium,Hybrid,3
TASK_0527,2042,4,2,1208.29,41.22,16.48,14,0.648,8310,High,Hybrid,5
TASK_0528,5793,2,4,340.19,87.67,70.17,2,0.912,15967,High,Cloud,4
TASK_0529,1691,3,2,1584.52,41.31,51.53,14,0.679,10239,Medium,Edge,3
TASK_0530,6813,4,1,1333.97,41.74,75.99,5,0.55,8088,Low,Edge,5
TASK_0531,7438,4,2,2529.63,42.6,86.6,0,0.879,13822,High,Edge,4
TASK_0532,3181,1,0,3888.64,81.11,84.43,13,0.798,18448,High,Hybrid,5
TASK_0533,9909,3,2,4291.61,65.32,83.19,15,0.637,4821,Medium,Cloud,1
TASK_0534,2040,2,3,4224.32,62.2,53.41,0,0.626,2436,Low,Edge,2
TASK_0535,6672,4,0,1798.38,38.4,42.01,16,0.988,13897,Low,Edge,4
TASK_0536,6041,4,4,3436.17,79.52,49.88,7,0.931,19867,Low,Hybrid,4
TASK_0537,1865,1,3,1564.17,13.26,66.74,17,0.905,8719,Low,Hybrid,1
TASK_0538,9191,5,1,304.53,84.02,81.3,15,0.564,3794,High,Hybrid,4
TASK_0539,9202,2,1,3507.83,53.58,30.52,5,0.878,12528,Medium,Edge,4
TASK_0540,7994,3,1,49.14,43.85,83.86,9,0.607,11082,Medium,Hybrid,4
TASK_0541,4812,4,3,2045.91,52.26,76.14,9,0.989,14018,High,Cloud,4
TASK_0542,1824,4,3,1646.9,66.73,88.41,4,0.526,18481,High,Cloud,4
TASK_0543,9847,2,3,3466.89,11.09,81.02,11,0.676,19022,High,Cloud,3
TASK_0544,3641,5,0,3831.23,84.08,36.0,19,0.714,16584,High,Hybrid,4
TASK_0545,7919,4,0,1520.47,47.97,22.95,16,0.912,10850,Medium,Hybrid,1
TASK_0546,3986,2,1,4058.14,39.15,23.42,13,0.883,9455,High,Cloud,4
TASK_0547,2310,1,2,1469.58,21.75,36.84,13,0.687,12184,High,Cloud,5
TASK_0548,7088,5,1,2231.63,47.35,61.06,2,0.783,14207,Low,Hybrid,5
TASK_0549,3423,3,4,3635.09,52.19,75.32,11,0.918,1160,Medium,Edge,1
TASK_0550,5801,4,0,3464.6,44.31,82.44,19,0.509,9418,Medium,Hybrid,3
TASK_0551,4686,2,3,4936.84,67.69,61.78,17,0.901,8081,High,Cloud,1
TASK_0552,9405,1,0,1125.81,45.78,15.42,11,0.973,5412,Medium,Cloud,3
TASK_0553,6477,3,3,3311.59,91.72,28.97,1,0.516,11114,Medium,Edge,2
TASK_0554,4768,2,4,3048.41,60.94,22.48,1,0.523,19722,Low,Cloud,5
TASK_0555,5248,2,4,4575.49,78.64,42.25,16,0.672,18985,Medium,Cloud,5
TASK_0556,5349,3,0,781.81,19.3,52.6,9,0.544,6888,Low,Cloud,5
TASK_0557,9935,1,3,3758.99,43.77,18.25,17,0.74,4718,Medium,Cloud,3
TASK_0558,4209,1,4,2841.34,38.63,41.14,18,0.864,11614,High,Cloud,1
TASK_0559,9773,5,1,1373.33,58.41,28.44,0,0.783,19309,Low,Hybrid,3
TASK_0560,7119,4,1,2372.17,83.19,63.53,3,0.598,9443,Medium,Cloud,5
TASK_0561,9147,3,3,1668.88,16.66,49.82,3,0.827,16203,Low,Cloud,5
TASK_0562,9586,3,0,2896.57,16.17,52.15,1,0.842,17369,Low,Hybrid,5
TASK_0563,3572,3,4,4445.0,82.28,47.08,18,0.966,8274,Medium,Edge,5
TASK_0564,7030,1,0,2846.52,28.09,86.7,11,0.573,16759,Low,Edge,2
TASK_0565,1004,4,1,3158.61,66.84,31.11,9,0.846,18986,Medium,Edge,5
TASK_0566,1714,5,4,2593.74,56.14,53.75,12,0.956,17897,Low,Hybrid,3
TASK_0567,2031,2,0,255.83,80.8,70.2,19,0.751,16104,Low,Hybrid,5
TASK_0568,8076,2,2,1164.29,20.63,56.76,14,0.681,9633,Medium,Edge,4
TASK_0569,1323,3,3,2460.01,21.03,84.68,2,0.585,9192,Medium,Hybrid,2
TASK_0570,1428,4,3,1551.18,57.33,43.35,19,0.933,7501,Low,Edge,5
TASK_0571,5529,1,2,908.82,90.44,49.78,12,0.697,18286,Medium,Cloud,4
TASK_0572,633,4,1,2520.66,45.27,21.64,7,0.962,6719,High,Hybrid,3
TASK_0573,2605,4,4,1614.05,37.79,60.67,6,0.924,10412,High,Edge,2
TASK_0574,4127,1,3,1290.54,61.57,36.62,7,0.688,16963,Low,Hybrid,5
TASK_0575,6816,3,2,2319.93,89.09,27.02,17,0.787,19705,Medium,Cloud,3
TASK_0576,2352,4,2,666.42,81.14,55.84,8,0.514,1855,Medium,Cloud,4
TASK_0577,5410,2,1,4638.73,94.62,54.92,5,0.632,2017,Low,Hybrid,2
TASK_0578,4675,1,1,4338.51,11.92,20.69,3,0.855,6279,High,Cloud,5
TASK_0579,5848,5,0,3538.1,19.59,67.37,14,0.839,11412,High,Hybrid,3
TASK_0580,9942,3,3,531.07,61.8,61.78,4,0.677,8712,High,Hybrid,2
TASK_0581,6690,1,0,3879.39,79.75,29.18,4,0.904,16817,High,Hybrid,4
TASK_0582,1756,5,2,4039.79,34.25,50.21,6,0.618,7624,High,Edge,5
TASK_0583,3876,5,4,3838.82,30.33,69.02,8,0.731,17579,Medium,Edge,2
TASK_0584,6145,4,4,569.83,76.89,54.71,6,0.736,16131,Medium,Hybrid,4
TASK_0585,3986,4,1,3219.54,14.79,44.66,8,0.67,5694,High,Edge,4
TASK_0586,4084,4,4,4171.62,41.4,39.18,19,0.977,15047,Medium,Edge,3
TASK_0587,8553,1,4,2886.77,52.99,60.78,9,0.848,5651,Medium,Hybrid,4
TASK_0588,3830,1,4,3232.04,57.63,85.43,3,0.77,13726,Medium,Edge,4
TASK_0589,3203,3,2,2291.82,71.93,65.38,5,0.755,12299,High,Hybrid,1
TASK_0590,9162,4,4,2643.54,40.16,20.61,13,0.58,18441,Low,Cloud,4
TASK_0591,8620,5,4,171.88,62.08,49.55,8,0.686,6207,Medium,Cloud,5
TASK_0592,7614,2,4,3194.82,59.76,81.81,0,0.836,11897,High,Edge,2
TASK_0593,1853,3,0,407.24,56.55,22.08,16,0.962,3792,High,Cloud,5
TASK_0594,5563,1,2,2175.07,64.44,89.17,12,0.908,1420,High,Edge,5
TASK_0595,9049,3,1,1463.28,32.05,86.18,6,0.65,3840,Medium,Cloud,3
TASK_0596,8075,3,0,2727.14,17.2,20.87,8,0.717,14437,Low,Hybrid,1
TASK_0597,1167,3,3,667.08,20.14,85.01,10,0.541,18415,High,Cloud,1
TASK_0598,4968,3,2,3458.22,29.09,42.23,2,0.551,8639,Low,Cloud,5
TASK_0599,9837,2,2,3975.06,52.52,78.35,11,0.735,18875,Medium,Cloud,2
TASK_0600,7319,4,3,816.77,81.44,46.38,2,0.765,5975,Medium,Edge,1
TASK_0601,4219,5,3,521.57,69.61,48.06,14,0.632,17893,Low,Cloud,1
TASK_0602,3245,3,3,727.58,77.07,62.57,9,0.821,19243,Medium,Cloud,5
